SampleID,elevation,latitude,longitude,veg.types.short,veg.types.long,Temp,Precip,Quartz,Plagioclase,K.feldspar,Amphibole,Muscovite,Chlorite,Mineral.pc1,Mineral.pc2,Ca,Fe,Mg,Al,K,Na,Ba,Mn,Ti,CIA,Mg/Al,Ca/Al,Ti/Fe,Ti/Al,Metal.pc1,Metal.pc2,pH,Moisture,TOC,TN,TP,NH4-N,NO3-N,WSOC,WSON,Veg.rich,Veg.dca1,Veg.dca2,Bac.rich,Bac.dca1,Bac.dca2
MT08_04,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,0.602547128541122,-0.163473751956017,0.412696977756107,-0.563129758725384,-0.0317200347911159,-0.559033810215899,-0.982306302352789,0.38564882045716,-0.745924656778686,0.255024328454844,-0.520135589157821,0.539107680394526,-0.440140790660816,-0.384949890860068,-0.103307188388031,-0.665768066715121,-0.132804063626002,1.74271400422717,-0.576115935427658,-0.885130656643964,-0.632428321065423,-0.331444591957602,0.271474764042657,1.60290522216617,0.0341567188673782,-0.215132636611535,1.39440399921206,0.0461004129782135,-0.130351930990071,-0.496618481027223,-0.344722724883819,-0.485018377968315,-0.370064716041228,1.0772319584122,-0.853965414820837,-0.0534403333209665,-1.07065153530029,-0.474649560742393,-0.315007795388954
MT08_05,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,1.69471848479316,-0.130064412924415,-1.37001691183202,-0.563129758725384,0.250026748549684,-0.221455234833917,-0.530514971173222,0.439745469721842,-0.595340060910067,-0.379433866619241,-0.509931572259273,0.218648726315501,0.0366043286523495,0.234665265171195,0.934198480401638,-0.702835264985681,-0.631439495546791,0.75370779853849,-0.537483344346175,-0.673631657134714,-0.389239132020103,-0.783426172367167,1.46421768546916,0.447005593356203,-0.333712209621032,0.449395625371328,0.113152656862658,0.287858814523101,-0.257938925321004,-0.0401971102024616,-0.344722724883819,-0.210927537117777,0.118189198428318,0.0458396578047744,-0.680537197230946,-0.12752544648626,0.0312475346470002,-0.374334057853149,-0.22521789767009
MT08_06,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,0.770335941989833,0.615149454919363,-0.824822895852839,-0.563129758725384,0.142254754922056,-0.559033810215899,-0.453917847063961,0.715445200042323,-0.518117191233853,-0.278950304310387,-0.504829563809998,-0.36518337625762,-0.532257644223021,-0.379654034825613,0.0563090683488409,-0.851104058067923,-0.423054538923177,0.784837387194468,-0.475150916088499,-0.473506161262664,-0.284228008863895,-0.338742372494186,0.682852438983473,0.921817934181025,-0.0138261848485012,0.26395898568315,-1.16809868548675,0.417756041687025,-0.118456551477948,-0.155503561779243,-0.501835667860101,-0.411813037649226,-0.371880721454466,0.561535808108488,-0.987643927068699,0.0168320049353681,0.859520661050331,-0.395267247585835,-0.209383799350667
MT08_07,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,0.423435143632682,-1.76433791388692,-0.843970190314215,-0.563129758725384,2.39007062201259,-0.559033810215899,-1.59485622991017,-2.30739626241958,-0.787431949229651,0.528239964815282,0.0487383529362619,0.0279302394749479,0.312954889338964,-0.707997108961838,0.535157838559458,0.37211348486057,-0.0955924642289274,1.25385300765116,0.0825836208990093,-0.851678376648798,-0.855456727438118,-0.101628327884428,-0.151856456621741,0.0733247757900816,0.11945965880672,-0.167646202284092,-0.593744635468047,-0.538173533546311,-0.34943936632661,-0.398127553638722,-0.454225685140016,-0.713694742987555,-0.679708106780918,0.303687732956631,-0.868648013660945,0.0367872075016868,-0.183216042725291,-0.360241320244132,-0.214451283920841
MT08_08,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,1.51869463755556,-1.10357543081747,-1.38513319693311,-0.563129758725384,1.43628847840808,-0.559033810215899,-1.25944008068461,-0.913927651593456,-1.01813527238734,0.38706471198466,-0.50355406169768,-0.877658221849584,-0.603365390832442,-1.40705010550993,-0.502347830230212,-1.03644004942073,-0.34863134012903,1.91532742450989,-0.416463480634855,-0.973118299095663,-0.955482664560628,-0.03325653047741,-0.0786626068491931,1.55691145570264,-0.20575779971202,0.469968383269864,-1.56572841242277,0.436634174460007,0.103342215120344,-0.545863944721474,-0.130477802643434,-0.42491596998264,-0.268238720090566,0.561535808108488,-1.01001348419593,-0.175822215803825,-0.397679620097582,-0.586161169361905,-0.18329329927909
MT08_09,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,0.904155241059357,-0.536544704475567,-0.135520295243296,-0.563129758725384,0.471729135440806,-0.559033810215899,-1.11033892967293,-0.0903522591011049,-0.827973955809664,0.0341265799081078,-0.493350044799131,-0.248416955742996,-0.30438963804283,-0.662982332668969,0.215925325085713,-0.776969661526802,-0.289092781093712,1.41835113597205,-0.474589681595412,-0.851117656780297,-0.544637205658561,-0.221914075153047,0.565860738923517,1.05124456694249,-0.147112028503722,0.335963638328027,-0.372839231614702,0.186260593595982,-0.113494936446736,-0.503825134250772,-0.541113903604172,-0.542523836292953,-0.448641319194072,1.59292810871592,-0.850985124429285,-0.205480995112616,-0.725537732632234,-0.492283989642341,-0.292150427535253
MT08_10,2166,29.67055,95.49676667,SEBF,evergreen and semi-evergreen broadleaved forest,0.157091226395054,-0.0440941095825052,-0.350658032523333,2.60022101571369,-1.59071467430789,-0.563129758725384,-0.0809872318780317,-0.559033810215899,0.668750345534742,1.57280158077717,-0.478540470524793,0.242567688499201,-0.346667301882495,1.38112331277221,0.361437443845388,0.541824915169598,1.33323912224382,-0.258028885738956,0.00860001408287912,1.06033072792389,-0.478075367488172,-0.745251437547594,-0.485627162259218,-0.45500973776283,0.889503356798233,0.642914848543666,-0.408352282067955,0.543382128921491,-0.372839231614702,0.324985629351901,-0.187395142215769,-0.0762303763202058,-0.204273275859567,0.174834368566356,0.843855028455187,0.561535808108488,-0.821770201279967,-0.0778476058840658,0.324594266914847,-0.350462704077142,-0.23522414686408
MT09_01,2438,29.6957,95.51958333,SEBF,evergreen and semi-evergreen broadleaved forest,-0.135127103555624,-0.299261403502725,1.16561756385673,-0.747209147813721,-1.00218730770559,-0.563129758725384,1.11220269757071,-0.559033810215899,-1.11621247955832,-0.595850486668167,-0.363671451881423,-0.376112095964403,-0.35176931033177,0.871243276525013,0.922218990969688,0.798673932840677,1.01400660877007,0.00144150215496622,-0.728189653979183,0.253444786360375,-0.436913737338841,-0.548970975953211,-0.514575339816289,-1.07101860465478,1.51875239665762,-0.229949776180583,0.338048442401282,-0.781447116023988,-0.0635716662200186,0.533259853431681,-0.488661672662432,-0.504425688686068,-1.02554547778104,-0.499922598770246,-0.728238141905857,1.59292810871592,-0.676012299374466,-0.07340898113618,1.03454266097484,-0.288267305095454,0.0792071446680871
MT09_02,2438,29.6957,95.51958333,SEBF,evergreen and semi-evergreen broadleaved forest,-0.135127103555624,-0.299261403502725,-0.168457909944059,-1.02098012043379,-0.22017149180938,-0.563129758725384,1.73958966047441,-0.559033810215899,-1.28123510706964,-1.61815919501173,-0.42351917588049,-0.447530165043423,-0.406615901161468,0.567650583186991,0.880200777064121,0.716588164306621,1.09381473713851,-0.183894489197836,-0.839824452170405,0.182054157867251,-0.462927501745636,-0.555077516643428,-0.55345948455063,-1.11346359354422,1.73052301415334,-0.335086694296032,0.172773996268808,-0.581778636967644,0.996774272276039,0.771410780563271,-0.526808054457914,-0.664173168474735,-1.02554547778104,-0.638486508083326,-0.68617082502925,0.303687732956631,-0.758576638550219,-0.0770582470295338,0.58835981609686,-0.567755818694897,-0.103893552508337
MT09_03,2438,29.6957,95.51958333,SEBF,evergreen and semi-evergreen broadleaved forest,-0.135127103555624,-0.299261403502725,0.329761634284015,0.767347554952215,-0.929629139220372,-0.563129758725384,0.425541138171822,-0.559033810215899,-0.343979107346471,0.44814791921847,-1.09535814206356,-1.50634456127308,-0.91426574186426,-3.46468313858471,-1.13020914980225,-1.78835173999071,-1.38023724228301,-0.925238454609044,-1.71057587806193,0.215711308807519,-0.701928751844779,-0.475568681552759,0.384571319711337,-0.959019711959148,1.5539163131103,-0.0745800845834878,-1.65590777868082,1.49806867539638,-1.69827165473477,2.54369699025688,-0.0216843192318493,0.339953847339741,-1.02554547778104,3.26311757118038,3.29666537875248,0.303687732956631,-1.10662841478132,-0.16059699036084,NA,NA,NA
